"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"784",0.085194725,71.48125,0.1549804415,0.04331,166.249960661,0.0216736477,25.0706619169,-76.9803619385,13.9896826091,90.38,-46.71875,87.99,26.75,110,87.475,-33.96875,103.16,-51.03125,2.6106968316,73.46875,"Scnn1a-Tg2-Cre"
"787",0.1944797836,150.174166667,0.1704328771,0.03744,133.281290531,0.0781460628,12.2742062048,-78.923828125,6.65893490336,77.24,-48.71875,74.965,36.4062538147,230,74.445,-37.65625,94.94,-51.4062538147,3.0043500776,85.1250038147,"Ntsr1-Cre_GN220"
"795",0.015070633,40.7922916667,0.3083420229,0.02068,301.562488079,0.0205476955,24.7832392958,-66.1851959229,24.5144354274,74.485,-49.84375,72.62,32.5000038147,70,72.12,-36.78125,83.575,-52.125,2.6240514987,82.3437538147,"Rorb-IRES2-Cre"
"820",0.0696908626,91.0614285714,0.1772727311,0.056105,172.656178474,0.1664906889,15.3703621142,-77.4682312012,10.9815979794,108.87,-55.28125,106.54,41.25,150,106.025,-38.0000038147,108.93,-55.3750038147,2.8165909608,96.53125,"Scnn1a-Tg3-Cre"
"824",0.0207597174,79.265,0.1541964385,0.07411,173.124969006,0.0914223418,25.7879458292,-77.813873291,12.6159086608,167.885,-46.25,162.32,38.0000038147,90,161.72,-37.7812538147,206.11,-52.3125,4.1657922456,84.2500038147,"Rbp4-Cre_KL100"
"832",0.2188444014,247.38,0.1767751479,0.11532,193.437352777,0.0247239135,25.0502579577,-74.2120742798,4.04236397445,227.94,-47.4375038147,225.94,39.3125,70,225.5,-36.3437538147,248.84,-53.7812538147,3.4204102134,86.7500038147,"Nr5a1-Cre"
"846",0.0177381057,84.33,0.2124238309,0.08588,221.250116825,0.0833893493,32.1219415101,-74.6492538452,11.8581762125,840.78,-53,836.46,41.15625,50,835.98,-43.3125,895.56,-61.3750038147,4.6898569728,94.15625,"Ctgf-T2A-dgCre"
"855",0.0309022487,71.6926923077,0.1858209136,0.067105,151.562571526,0.0225339085,17.4630409651,-79.0895767212,13.9484230235,294.27,-44.90625,291.085,28.1250019073,70,290.56,-33.90625,377.835,-56.46875,3.3476373087,73.0312519073,"Scnn1a-Tg2-Cre"
"863",0.3663835888,90.67,0.1101562399,0.04177,125.669509172,0.1103913933,13.4431120069,-80.1582565308,11.0290062865,102.83,-53.5625038147,100.84,32.125,290,100.305,-39.15625,119.38,-53.90625,2.9989527512,85.6875038147,"Rorb-IRES2-Cre"
"866",0.0923111539,83.224,0.1441287889,0.03486,155.781134963,0.0176409464,18.5143234051,-76.8596801758,12.0157646833,68.22,-50.0312538147,64.42,36.5000038147,170,63.88,-38.03125,79.7,-54,4.1548754458,86.5312576294,"Rorb-IRES2-Cre"
