"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"210",0.0141302592,50.4922222222,0.2353686592,0.03494,263.593733311,0.0127053382,26.8565937063,-77.0944213867,19.8050304778,119.64,-51.9062538147,117.52,44.8437538147,50,117.12,-36.21875,134.94,-57.0000038147,3.7379973518,96.7500076294,"Scnn1a-Tg3-Cre"
"211",1,88.09,0.1677083346,0.067375,143.281206489,0.00599158,21.6365184812,-78.8448944092,11.3520263367,85.46,-47.6875,83.13,41.46875,150,82.78,-36.1562538147,99.565,-51.5000038147,3.9835933104,89.15625,"Rorb-IRES2-Cre"
"215",0.1527855517,146.2475,0.2623127319,0.062435,182.031333447,0.0285894461,24.556073344,-74.3327331543,6.83772372177,194.08,-45.1875038147,192.065,42.125,90,191.685,-32.625,219.075,-53.6250038147,2.9803720653,87.3125038147,"Cux2-CreERT2"
"219",0.0185935976,56.9271875,0.2557692461,0.032505,251.874893904,0.15363805,27.4752091503,-69.9340515137,17.5662990553,132.5,-51.0312538147,130.855,28.1250019073,60.0000038147,130.305,-43.2812538147,160.56,-54.5000038147,2.3829065111,79.156255722,"Rbp4-Cre_KL100"
"221",0.1238071413,125.053333333,0.0793956035,0.069145,102.656133473,0.0125178266,25.7608101089,-66.1836395264,7.9965881224,140.29,-48.2812538147,134.83,32.9062538147,190,134.285,-35.5,163.625,-53.53125,3.2249206239,81.1875076294,"Rorb-IRES2-Cre"
"224",0.0086449434,57.665,0.2343750099,0.05036,188.593819737,0.0488955341,20.5036844997,-74.1413345337,17.3415416631,116.02,-48.3750038147,113.68,36.1562538147,130,113.22,-37.6875038147,125.24,-55.03125,3.8410125729,84.5312576294,"Rorb-IRES2-Cre"
"229",0.0116282761,95.6244444444,0.1541403808,0.07504,193.281367421,0.0975460112,30.1351968105,-65.6994934082,10.4575770956,211.895,-46.9375038147,209.2,46.34375,50,208.82,-36.75,250.865,-57.0000038147,3.9711315285,93.2812538147,"Rorb-IRES2-Cre"
"231",0.2077250898,141.385833333,0.115174903,0.045985,175.000041723,0.0361807421,22.9385790753,-78.5516433716,7.07284440332,98.52,-51.7812538147,96.35,46.65625,90,96.005,-42.5,122.19,-57.8125038147,4.311725613,98.4375038147,"Rorb-IRES2-Cre"
"234",0.0921209855,113.670625,0.1241706177,0.04587,331.250011921,0.1422371566,49.7167411658,-61.3951797485,8.7973475997,127.385,-43.0312538147,123.74,31.0000019073,30.0000019073,123.05,-34.3437538147,177.88,-50.34375,2.8534474832,74.031255722,"Rorb-IRES2-Cre"
"236",0.0226394565,59.69,0.1961538462,0.038845,278.794765472,0.098568581,28.8238727566,-74.1093292236,16.7532249958,514.2,-55.28125,509.98,44.3125,70,509.43,-36.5625038147,524.1,-58.84375,4.3148191256,99.59375,"Ntsr1-Cre_GN220"
