"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"374",141.185456,95.3126102686,0.0731262862682,-82.90625,-72.6440582275,86.9000045776,"Inhibitory",12.5286133333,-55.3125012716,12.52776,21.8750006358,287.666666667,12.5274,-32.3958339691,12.5286533333,-55.3541692098,1.36484708586
"378",110.398784,105.156250298,0.0230337269604,-83.4687576294,-72.0595779419,83.7312530518,"Inhibitory",9.98349166667,-50.1979166667,9.97782166667,24.1458339691,223.958333333,9.97740666667,-28.0104179382,9.98712666667,-52.0312525431,3.4526401379
"380",124.02236,154.68749404,0.0369148589671,-98.90625,-81.3229217529,74.070315361,"Excitatory",4.98653,-48.4166666667,4.98455,31.4166673024,99.0833333333,4.98409166667,-35.625,5.02648833333,-58.6145858765,2.86203534577
"381",121.527552,146.093860269,0.0295471437275,-95.4375076294,-78.6970443726,90.4937561035,"Excitatory",5.14762666667,-49.7500012716,5.14555333333,37.4166704814,103.125,5.14502,-36,5.17037333333,-56.0312512716,3.12234766666
"389",199.343808,198.906213045,0.00907935388386,-99.15625,-77.2901382446,99.1562538147,"Excitatory",3.76202333333,-49.2916692098,3.75981,45.5937525431,68.5,3.75930666667,-44.5,3.80105833333,-53.0208346049,4.72964530167
"394",345.971648,341.718673706,0.0355428121984,-101.968757629,-74.6933822632,93.7321469443,"Inhibitory",2.86658,-60.695315361,2.86494,38.453127861,46.09375,2.8644,-40.1875019073,2.866785,-60.8984413147,2.22230428025
"395",210.940528,191.718757153,0.0411933287978,-89.8750076294,-67.5364532471,91.7437545776,"Excitatory",2.95779,-48.1718769073,2.95594,43.1718769073,48.375,2.9555675,-39.7812519073,2.9908825,-53.2343788147,3.85625576302
"401",171.228576,142.499998212,0.00815309025347,-75.34375,-59.7569160461,79.851565361,"Inhibitory",5.9956,-44.5312525431,5.9928,13.28125,124.29166158,5.99221333333,-32.9895846049,5.99900666667,-46.0937512716,2.42205321102
"410",297.908576,195.089280605,0.0982809737325,-93.0625076294,-70.4354019165,84.734380722,"Inhibitory",3.77542,-44.2031269073,3.77326,35.1250019073,68.875,3.77272,-38.2343769073,3.79903,-45.6093769073,3.28733519381
"411",239.256544,210.156217217,0.100539937615,-96.1562576294,-73.0956115723,99.2687538147,"Inhibitory",5.127865,-50.2968788147,5.126135,33.9218769073,102.625,5.1257175,-34.734375,5.128005,-50.4375038147,2.96601344402
