"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"401",171.228576,142.499998212,0.00815309025347,-75.34375,-59.7569160461,79.851565361,"Inhibitory",-0.0016524806906,42.6133333333,0.239977490097,0.59416,23.4668335419,1.94556,-45.4062538147,1.94344,16,130,1.94294,-34.28125,1.9484,-46.5625038147,2.61677480871
"410",297.908576,195.089280605,0.0982809737325,-93.0625076294,-70.4354019165,84.734380722,"Inhibitory",-0.0314410393938,77.7916666667,0.222767857143,0.0138,12.8548473487,2.01116,-43.21875,2.00888,32.15625,90,2.00828,-34.59375,2.01964,-44.28125,2.56555384631
"411",239.256544,210.156217217,0.100539937615,-96.1562576294,-73.0956115723,99.2687538147,"Inhibitory",0.151197766521,77.2168181818,0.105666009793,0.01481,12.9505465719,1.11199,-53.0625038147,1.110795,41.71875,60.0000038147,1.110485,-43.6562538147,1.13865,-54.5937538147,3.13222668348
"412",123.66616,74.9998837709,0.0403347201645,-86.75,-78.1814880371,94.7125038147,"Excitatory",0.0473092916966,138.083333333,0.0230841104874,0.08198,7.242003621,1.2741,-47.1562538147,1.26956,40.6562538147,190,1.269,-38.1562538147,1.31292,-55.3125038147,4.71834075116
"415",169.58944,126.71867013,0.0435944460332,-89.9687576294,-76.2541275024,93.3750038147,"Excitatory",0.0305429514575,79.7181818182,0.168080359164,0.0668,12.5441897594,1.70436,-46.96875,1.69888,45.53125,170,1.69838,-37,1.72012,-52.25,5.37153078797
"418",177.283872,137.343794107,0.0292228590697,-94.34375,-76.8331451416,82.7812553406,"Excitatory",0.0185858153596,42.7184090909,0.215904945814,0.03673,23.4091114646,1.13402,-41.4375038147,1.13225,33.90625,90,1.131865,-31.1562519073,1.158625,-49.4375,2.66898127634
"424",441.202464,380.781233311,0.218152210116,-98.65625,-69.4236221313,87.1250038147,"Inhibitory",0.0190160693201,29.948125,0.696521724155,0.017455,33.3910720621,1.118335,-58.9062538147,1.117305,25.6562519073,29.9999980927,1.11694,-41.5312538147,1.118435,-59.0625038147,1.66899317084
"434",95.58364,87.1874988079,0.0920467376709,-89.7812576294,-70.0180740356,83.5000019073,"Inhibitory",0.0257060216293,8.59875,1.00628897616,0.00461,116.295973252,1.02677,-64.21875,1.02626,10.25,400,1.02603,-39.8437538147,1.026805,-64.3125,1.17200712664
"435",214.070112,162.544712424,0.0740037932992,-89.2500076294,-70.6075286865,83.3312522888,"Inhibitory",0.00354169523006,15.5334920635,0.924452629505,0.01049,64.3770245552,1.041915,-63.5937538147,1.04134,22.7187519073,110,1.041065,-38.78125,1.04195,-63.84375,1.18486334297
"443",226.82648,148.749992251,0.0565289407969,-87.0625,-70.4658660889,96.9218762716,"Inhibitory",0.00176158949382,10.33,1.00594994192,0.007635,96.8054211036,1.041675,-64.40625,1.040865,26.5,110,1.040505,-42.125,1.041765,-64.5000076294,1.37892105685
"446",150.047936,129.776865244,0.138412699103,-91.5000076294,-78.4465026855,84.7031288147,"Excitatory",0.0330282831042,79.2636363636,0.175892863979,0.06008,12.6161257025,1.226505,-48.03125,1.223965,33.3125038147,90,1.223585,-35.34375,1.27259,-59.7812538147,3.12470760569
"452",251.150864,289.531320333,0.0597299821675,-94.5000076294,-62.7012290955,96.5500053406,"Inhibitory",0.0338573909717,77.5333333333,0.191071428571,0.02036,12.8976784179,1.0919,-49.6875,1.08964,42.0625038147,50,1.08908,-36.6875,1.11642,-54.0312538147,2.74976324719
"470",134.760864,170.156210661,0.0559369772673,-90.71875,-72.9973297119,93.1562576294,"Excitatory",0.0224810319965,68.2214285714,0.19520295203,0.04422,14.658150979,1.15884,-50.0312538147,1.15662,41.3750038147,50,1.1562,-36.1875038147,1.18434,-58.0625,3.83463193241
"473",102.12096,125.000193715,0.141033068299,-89.5,-75.3490219116,100.682296117,"Excitatory",0.0540873886153,76.2683333333,0.211742415433,0.031835,13.1116015821,1.078175,-51.0312538147,1.076345,43.8437538147,209.999984741,1.07592,-34.875,1.078535,-51.3125038147,2.79220077201
"474",133.680704,162.343755364,0.0750596448779,-89.9687576294,-72.1620178223,95.4437530518,"Excitatory",0.122799425638,127.0975,0.0742187544703,0.056675,7.86797537324,1.18394,-43.5000038147,1.179605,40.375,150,1.179155,-29.1875,1.21353,-52.6875038147,3.67893673818
"483",189.404256,214.464262128,0.0666440650821,-96.1250076294,-71.5020294189,60.0468751192,"Inhibitory",0.0349288596863,49.1228947368,0.469480537621,0.02517,20.3571065052,1.096375,-50.5937538147,1.09406,0.5,90,1.093555,-42.8125038147,1.09799,-51.1875038147,2.37617779852
"486",380.892416,291.406184435,0.0525948405266,-97.84375,-68.7102890015,81.8333377838,"Inhibitory",0.00196813292358,12.229047619,0.331223855147,0.008675,81.7725166465,1.03418,-57.34375,1.03327,7.6875,120.000007629,1.032945,-36.9375,1.03422,-57.4687538147,1.38501499277
"488",205.452864,187.656283379,0.0240895766765,-99.3125076294,-80.8980407715,92.3593788147,"Excitatory",0.0121176654694,49.1368421053,0.207303370787,0.05534,20.3513281919,1.19036,-51.7187538147,1.18876,39.2187538147,70,1.1883,-41.3125,1.2124,-54.2812538147,3.16529186747
"494",258.823712,248.125046492,0.0593741945922,-95.5625,-72.4813919067,82.8020877838,"Excitatory",0.0571274005696,52.161,0.229553588131,0.015515,19.171411591,1.0701,-54.3437538147,1.0663,18.0000019073,90,1.065725,-45.6562538147,1.07877,-58.21875,3.22668387539
"525",80.862096,87.187461555,0.0472240559757,-87.9375076294,-79.1463012695,86.8875022888,"Excitatory",0.0192024243538,112.095,0.121205357517,0.09148,8.92100450511,1.328,-46.34375,1.32524,33.5625,190,1.32472,-38.9687538147,1.36154,-56.1250038147,3.66987014198
"527",156.43096,146.093562245,0.0724782198668,-93.09375,-77.5240783691,97.9062538147,"Excitatory",0.0192199943907,86.972,0.149388592958,0.06236,11.4979533643,1.30824,-46.4687538147,1.30576,45.375,100,1.30532,-34.9375,1.35272,-57.8750038147,3.95666715272
