"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"185",4.065,-64.5546875,2.65,35.5156288147,499.999969482,2.29,-45.625002861,799.275,-71.507818222,2.6673742536,100.070316315,"Inhibitory"
"187",4.9666667,-58.8072942098,3.46,40.1666666667,350,3.1658333,-45.1666679382,525.3025,-75.9739596049,2.9803402309,98.9739608765,"Inhibitory"
"188",3.5541667,-63.0260461171,2.6483333,22.2656262716,509.999969482,2.355,-45.5364602407,442.9325,-71.0468800863,1.5332557854,85.2916723887,"Inhibitory"
"189",5.16125,-52.148440361,3.415,29.7734384537,550,2.9175,-45.023440361,431.805,-66.7500019073,2.5471432083,81.9218788147,"Excitatory"
"191",6.608,-54.2937515259,3.364,38.2375030518,840,2.944,-48.2250030518,551.06,-75.0062530518,4.5212569131,92.5312545777,"Excitatory"
"193",4.48,-46.8312515259,3.342,37.8125015259,1030,3.05,-45.3937522888,216.623,-75.2937545776,3.3067701909,84.6437530518,"Excitatory"
"194",6.102,-54.7187522888,3.705,16.7187507629,720,3.187,-41.4875030518,101.797,-79.4312530518,2.3297884026,71.4375030517,"Excitatory"
"196",3.995,-60.960940361,3.375,19.5312509537,0,3.09,-46.8515663147,548.86,-75.148443222,1.3291828931,80.4921913147,"Inhibitory"
"198",5.052,-51.7000022888,3.368,45.9250015259,720,3.028,-45.3062515259,85.444,-70.5375015259,4.0172443246,97.6250038147,"Excitatory"
"199",5.278,-53.9687522888,3.122,36.0687507629,750,2.699,-46.7000030518,720.638,-68.4687545776,3.7109050648,90.0375030517,"Inhibitory"
"200",7.125,-49.3541679382,3.5883333,28.7708346049,393.333333333,3.0883333,-40.9270858765,475.545,-72.0520858765,4.1765617318,78.1250025431,"Excitatory"
"201",5.1933333,-47.7239608765,3.4166667,28.7239599228,260,3.08,-41.4479179382,645.18,-70.4531275431,3.2646956685,76.4479207993,"Inhibitory"
"202",3.555,-62.7916704814,3.0808333,17.1614586512,820,2.88,-44.916668574,197.6158333,-75.1093788147,1.2490279234,79.9531291326,"Inhibitory"
"203",5.61,-48.648440361,3.44,40.882815361,999.999938965,3.03,-44.2578134537,874.03,-68.695318222,4.2912475657,89.531255722,"Excitatory"
"206",5.54,-49.2343769073,3.435,33.0000009537,340,3.03,-40.0625009537,54.68,-59.8906288147,3.4130185833,82.234377861,"Excitatory"
"207",8.27,-63.4687538147,3.45,14.8750011921,570,3.065,-38.4140634537,682.39,-74.3593788147,2.4278165274,78.3437550068,"Inhibitory"
"208",4.975,-51.9250030518,3.232,37.6125022888,910.000061035,2.883,-46.2562522888,592.56,-82.0750015259,3.8717045389,89.5375053406,"Excitatory"
"209",5.1891667,-53.0572942098,3.3658333,47.8177102407,770,2.9491667,-45.0312519073,303.4666667,-72.786462148,2.7526139564,100.875004451,"Excitatory"
"210",4.896,-54.6250015259,3.352,43.9187507629,489.999969482,2.988,-45.0062522888,782.28,-78.2437515259,4.0198665794,98.5437522888,"Excitatory"
"211",4.894,-49.9187515259,3.337,43.5437522888,1080,3.014,-48.2937522888,437.82,-79.9187515259,4.0894512735,93.4625038147,"Excitatory"
"212",7.488,-58.3812515259,3.452,22.0375015259,590,3.108,-35.0000007629,375.62,-71.9812530518,2.4093136964,80.4187530518,"Inhibitory"
"214",4.253,-62.6875053406,3.218,12.8250003815,1010.00006104,2.938,-44.4687522888,313.116,-77.2750030518,1.453792063,75.5125057221,"Inhibitory"
"215",4.465,-46.5000030518,3.173,43.0500022888,820,2.869,-46.8187530518,781.213,-75.1250045776,3.7423886449,89.5500053406,"Excitatory"
"216",3.83375,-62.367190361,3.26,24.046875,155,3.0275,-42.7812509537,197.99,-73.0703163147,1.3099355749,86.414065361,"Inhibitory"
"217",4.675,-54.4375038147,3.44625,17.4140625,310,3.14625,-44.4687538147,502.88625,-69.0312519073,2.3958027662,71.8515663147,"Inhibitory"
"219",4.9241667,-56.119793574,3.4508333,36.1458358765,61.6666666667,3.0116667,-51.1614608765,713.9441667,-71.0572942098,2.4531328674,92.2656294505,"Excitatory"
"220",4.185,-58.859377861,3.46,33.8437519073,0,3.16,-42.4375019073,403.9975,-68.8750076294,1.5285837514,92.7031297683,"Inhibitory"
"221",6.058,-51.7500015259,3.562,35.5375022888,1150,3.09,-50.7562522888,76.808,-67.20625,3.1522009983,87.2875038147,"Excitatory"
"222",7.09,-54.71875,3.555,22.3125019073,460,3.145,-42.65625,27.64,-66.71875,1.9092163744,77.0312519073,"Inhibitory"
"225",3.9241667,-63.2135423024,3.2883333,12.1041669846,540,3.0216667,-52.6770846049,540.7591667,-75.9479192098,1.3806116542,75.317709287,"Inhibitory"
"227",4.84,-52.7437530518,3.04,35.0000022888,400,2.664,-40.4062507629,562.284,-67.6625045776,3.3290247152,87.7437553406,"Inhibitory"
"228",3.809,-60.4437530518,3.232,30.1312511444,516.000036621,2.999,-42.7562515259,399.797,-75.2000045776,1.4346522375,90.5750041962,"Inhibitory"
"230",4.4475,-58.6302115122,3.515,36.7239602407,280,3.1133333,-47.9635442098,153.2183333,-74.0625038147,1.9107763975,95.3541717529,"Inhibitory"
"233",3.92,-63.7875022888,3.288,33.6500007629,760,3.044,-41.1625030518,495.657,-76.9562530518,1.3188164189,97.4375030517,"Inhibitory"
"234",5.4,-46.8750038147,3.23,35.25,509.999969482,2.695,-42.1875,161.17,-61.0000038147,3.1219336556,82.1250038147,"Excitatory"
"235",3.8758333,-60.2760442098,3.2158333,21.0781257947,750,2.9841667,-40.3020846049,182.5525,-73.5364608765,1.3361568026,81.3541700045,"Inhibitory"
"239",5.063,-55.8312522888,3.403,32.49375,224,3.033,-45.9500007629,250.807,-77.0937545776,2.8832394481,88.3250022888,"Excitatory"
