"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"288",6.0198733333,-53.0937512716,6.0188466667,15.1666676203,150.458333333,6.0184133333,-30.1770846049,6.0202,-53.4791679382,1.2632586038,68.2604188919,"Nkx2-1-CreERT2"
"291",1.9972116667,-58.7812525431,1.9964616667,34.4270833333,49.875,1.9961166667,-36,1.9972483333,-58.9166704814,1.3218136075,93.2083358764,"Sst-IRES-Cre"
"293",4.0741183333,-57.2187525431,4.07322,37.9895858765,101.83333079,4.07283,-42.6770858765,4.074165,-57.3541692098,1.9591041744,95.2083384196,"Sst-IRES-Cre"
"296",1.76916,-49.9843769073,1.76721,23.7343759537,44.1875,1.76669,-38.890625,1.77076,-50.4375019073,2.6256495889,73.718752861,"Htr3a-Cre_NO152"
"301",3.2715316667,-53.9791679382,3.270415,19.520834287,81.75,3.2698516667,-35.28125,3.2715833333,-54.0729179382,1.2868974961,73.5000022252,"Sst-IRES-Cre"
"302",0.5563466667,-56.2708358765,0.5551,27.5520839691,13.875,0.5546,-44.645837148,0.5564533333,-56.4062525431,1.9047810463,83.8229198456,"Chrna2-Cre_OE25"
"305",10.743725,-52.390625,10.7430225,19.0000019073,268.5625,10.7427075,-29.1875009537,10.7438075,-52.5156269073,1.1971554892,71.3906269073,"Pvalb-IRES-Cre"
"306",4.4659716667,-52.2916679382,4.46148,23.791668574,111.541656494,4.4610183333,-35.1770833333,4.4744116667,-55.4583358765,4.1638391829,76.0833365122,"Htr3a-Cre_NO152"
"313",7.2413683333,-56.0833358765,7.240235,9.2291666667,181,7.2398666667,-29.1250006358,7.24145,-56.2083346049,1.288163475,65.3125025432,"Pvalb-IRES-Cre"
"314",7.9155733333,-51.7291704814,7.9128666667,29.6250019073,197.833333333,7.91251,-36.34375,7.920745,-54.3750038147,3.7189258912,81.3541723887,"Htr3a-Cre_NO152"
"318",13.038325,-59.5729179382,13.0377366667,10.8229173024,325.916666667,13.0374733333,-38.9375038147,13.0383616667,-59.6875038147,1.192560411,70.3958352406,"Pvalb-IRES-Cre"
"322",22.34902,-65.7187525431,22.3484566667,18.9791673024,558.708333333,22.348165,-37.6770858765,22.349045,-65.8020884196,1.1019941292,84.6979198455,"Pvalb-IRES-Cre"
"325",12.4180416667,-55.2395846049,12.412845,23.0416673024,310.291666667,12.4123783333,-35.8541692098,12.422365,-57.3229166667,3.879247627,78.2812519073,"Htr3a-Cre_NO152"
"327",21.6326566667,-56.9791679382,21.631585,8.8437504768,540.791666667,21.63123,-31.3020852407,21.6329,-57.1979192098,1.2272474085,65.822918415,"Pvalb-IRES-Cre"
"330",4.49869,-59.3125038147,4.4974766667,35.9375038147,112.41666921,4.4970266667,-43.9270846049,4.4987783333,-59.4479192098,2.0204231487,95.2500076294,"Sst-IRES-Cre"
"332",19.7613533333,-60.1770858765,19.7606533333,18.7604173024,494.000010173,19.76032,-37.2083346049,19.76138,-60.25,1.2065914515,78.9375031789,"Pvalb-IRES-Cre"
"335",7.3270083333,-50.4687538147,7.32595,26.3020846049,183.166666667,7.3255933333,-36.6458346049,7.32708,-50.5520846049,2.0516232975,76.7708384196,"Htr3a-Cre_NO152"
"339",8.646005,-52.6354166667,8.6451166667,15.1562503179,216.083333333,8.644765,-29.4895833333,8.6460966667,-52.7708333333,1.2536004509,67.7916669846,"Pvalb-IRES-Cre"
"340",6.254,-55.5312519073,6.2496,36.1093769073,156.25,6.24921,-31.4843759537,6.2596,-58.8906269073,3.8756668877,91.6406288146,"Nkx2-1-CreERT2"
"342",2.0963333333,-56.7916704814,2.0953366667,35.03125,52.375,2.0949066667,-39.2708333333,2.102185,-56.8854179382,1.8782943973,91.8229204814,"Sst-IRES-Cre"
"347",11.4125016667,-52.3958346049,11.4113333333,7.5625,285.291656494,11.41092,-29.0104179382,11.4125616667,-52.5104204814,1.2860142728,59.9583346049,"Pvalb-IRES-Cre"
"348",14.5994016667,-60.7291679382,14.59867,19.2187519073,364.958312988,14.5983483333,-34.8750038147,14.59947,-60.8437525431,1.2207710894,79.9479198455,"Pvalb-IRES-Cre"
"351",1.0466,-58.0312512716,1.045065,40.0416692098,26.1250006358,1.0445983333,-36.1666679382,1.0467466667,-58.208337148,2.473793532,98.0729204814,"Sst-IRES-Cre"
"352",4.68866,-49.5520846049,4.68508,45.0833358765,117.125002543,4.68462,-40.0000012716,4.7273333333,-56.8437538147,4.8255071228,94.6354204814,"Chrna2-Cre_OE25"
"355",6.0411383333,-54.0312512716,6.0361333333,21.4270846049,150.91666158,6.0357,-32.8229204814,6.046065,-56.5520858765,2.9488596574,75.4583358765,"Htr3a-Cre_NO152"
"356",7.46237,-48.5625,7.45848,32.109375,186.4375,7.45799,-38.5468769073,7.4694575,-51.7812519073,3.2456711885,80.671875,"Htr3a-Cre_NO152"
"357",5.7654,-52.40625,5.7641,10.9375009537,144.125,5.7636,-27.5625,5.76554,-52.5937538147,1.053326711,63.3437509537,"Ndnf-IRES2-dgCre"
"361",2.9292,-56.052087148,2.9275666667,35.0937525431,73.2083333333,2.9271266667,-42.9895833333,2.9368333333,-56.3229192098,2.9003067668,91.1458396911,"Htr3a-Cre_NO152"
"362",1.1261716667,-64.8020858765,1.124465,23.4895846049,28.0833346049,1.1238333333,-50.5520858765,1.12633,-64.9479166667,2.109309026,88.2916704814,"Sst-IRES-Cre"
"363",3.54934,-61.8229204814,3.5477533333,43.6354204814,88.7083333333,3.5472533333,-41.1979179382,3.5495466667,-62.0104192098,2.4377206869,105.458340963,"Chrna2-Cre_OE25"
"365",2.1067416667,-51.1458358765,2.10493,37.1250012716,52.6249987284,2.1045183333,-40.0833346049,2.1186366667,-52.7395858765,3.1655305534,88.2708371481,"Htr3a-Cre_NO152"
"369",8.1254,-49.8750019073,8.12387,4.328125,203.124992371,8.12324,-30.7812509537,8.12547,-49.9531288147,0.8621515315,54.2031269073,"Nkx2-1-CreERT2"
"370",7.8578583333,-61.3645833333,7.8570716667,21.4270833333,196.458333333,7.8567216667,-35.25,7.8578866667,-61.4895846049,1.2519630978,82.7916666666,"Pvalb-IRES-Cre"
"374",11.5086133333,-55.3125012716,11.50776,21.8750006358,287.666666667,11.5074,-32.3958339691,11.5086533333,-55.3541692098,1.3648470859,77.1875019074,"Nkx2-1-CreERT2"
"378",8.9634916667,-50.1979166667,8.9578216667,24.1458339691,223.958333333,8.9574066667,-28.0104179382,8.9671266667,-52.0312525431,3.4526401379,74.3437506358,"Htr3a-Cre_NO152"
"382",3.34856,-59.4166704814,3.3454,29.3958339691,83.625,3.3449,-42.5416692098,3.35402,-63.3333358765,2.9525665255,88.8125044505,"Nkx2-1-CreERT2"
"386",8.4989616667,-47.4687512716,8.49675,-1.5520833731,212.416671753,8.496055,-36.3437512716,8.4995183333,-47.7083358765,1.8343996597,45.9166678985,"Htr3a-Cre_NO152"
"392",1.60018,-62.2343788147,1.599105,46.7656269073,39.9375,1.59863,-39.21875,1.6002225,-62.3593788147,1.6757308142,109.000005722,"Sst-IRES-Cre"
"394",1.84658,-60.695315361,1.84494,38.453127861,46.09375,1.8444,-40.1875019073,1.846785,-60.8984413147,2.2223042803,99.148443222,"Chrna2-Cre_OE25"
"401",4.9756,-44.5312525431,4.9728,13.28125,124.29166158,4.9722133333,-32.9895846049,4.9790066667,-46.0937512716,2.422053211,57.8125025431,"Nkx2-1-CreERT2"
"403",9.1381075,-57.1250019073,9.1371925,17.7187509537,228.437515259,9.1368575,-32.7187519073,9.13871,-57.5781269073,1.2377131195,74.843752861,"Pvalb-IRES-Cre"
"407",10.1610233333,-61.9687525431,10.160195,7.9791674614,253.958328247,10.1598133333,-33.8958333333,10.1610933333,-62.1041679382,0.9278558521,69.9479200045,"Pvalb-IRES-Cre"
"408",7.377585,-55.2500012716,7.3765916667,7.2500004768,184.416666667,7.3762166667,-32.6875012716,7.3776933333,-55.4062512716,1.2102893152,62.5000017484,"Pvalb-IRES-Cre"
"410",2.75542,-44.2031269073,2.75326,35.1250019073,68.875,2.75272,-38.2343769073,2.77903,-45.6093769073,3.2873351938,79.3281288146,"Vip"
